Treatment,Rep,Mortality
6.5,1,1
6.5,1,1
6.5,1,1
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,1,0
6.5,2,1
6.5,2,1
6.5,2,1
6.5,2,1
6.5,2,1
6.5,2,1
6.5,2,1
6.5,2,1
6.5,2,1
6.5,2,1
6.5,2,1
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,2,0
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,1
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
6.5,3,0
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,2,1
10,2,1
10,2,1
10,2,1
10,2,1
10,2,1
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,3,1
10,3,1
10,3,1
10,3,1
10,3,1
10,3,1
10,3,1
10,3,1
10,3,1
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,1
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,1,0
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,1
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,2,0
14.5,3,1
14.5,3,1
14.5,3,1
14.5,3,1
14.5,3,1
14.5,3,1
14.5,3,1
14.5,3,1
14.5,3,1
14.5,3,1
14.5,3,1
14.5,3,1
14.5,3,1
14.5,3,1
14.5,3,1
14.5,3,1
14.5,3,1
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
14.5,3,0
21,1,1
21,1,1
21,1,1
21,1,1
21,1,1
21,1,1
21,1,1
21,1,1
21,1,1
21,1,1
21,1,1
21,1,1
21,1,1
21,1,1
21,1,1
21,1,1
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,1
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,2,0
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,1
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
21,3,0
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,1
29.5,1,0
29.5,1,0
29.5,1,0
29.5,1,0
29.5,1,0
29.5,1,0
29.5,1,0
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,1
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,2,0
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,1
29.5,3,0
29.5,3,0
29.5,3,0
29.5,3,0
29.5,3,0
29.5,3,0
29.5,3,0
29.5,3,0
29.5,3,0
29.5,3,0
29.5,3,0
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,1
40,1,0
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,1
40,2,0
40,2,0
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,1
40,3,0
40,3,0
40,3,0
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,1
53,2,0
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,1
53,3,0
